期号,开奖日期,第1位结果,第2位结果,第3位结果,跨度,和值,杀码公式,杀码,杀码正确,杀码情况,形态,形态预测,形态预测正确,形态情况,十位,个位,和,独胆,独胆正确,独胆情况,直选中奖注数,直选中奖奖金,组3中奖注数,组3中奖奖金,组六中奖注数,组六中奖金额,总销售额,开奖公告
24118,2024-5-7,7,3,3,4,13,10076,0,TRUE,,组三,组六,FALSE,,7,6,13,3,TRUE,,"37,485","1,040","31,458",346,0,173,"48,398,350",https://pdf.sporttery.cn/28200/24118/24118.pdf
24117,2024-5-6,1,8,5,7,14,19041,9,TRUE,,组六,组六,TRUE,,4,1,5,5,TRUE,,"19,512","1,040",0,346,"44,677",173,"47,081,084",https://pdf.sporttery.cn/28200/24117/24117.pdf
24116,2024-5-5,3,4,8,5,15,34001,4,FALSE,,组六,组六,TRUE,,0,1,1,1,FALSE,,"12,818","1,040",0,346,"41,530",173,"46,270,424",https://pdf.sporttery.cn/28200/24116/24116.pdf
24115,2024-5-4,6,2,0,6,8,30041,0,FALSE,,组六,组六,TRUE,,4,1,5,5,FALSE,,"10,085","1,040",0,346,"34,789",173,"44,731,920",https://pdf.sporttery.cn/28200/24115/24115.pdf
24114,2024-5-3,5,4,8,4,17,18876,8,FALSE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"9,083","1,040",0,346,"39,944",173,"47,158,452",https://pdf.sporttery.cn/28200/24114/24114.pdf
24113,2024-5-2,3,4,5,2,12,11891,1,TRUE,,组六,组六,TRUE,,9,1,10,0,FALSE,,"19,790","1,040",0,346,"51,849",173,"45,723,076",https://pdf.sporttery.cn/28200/24113/24113.pdf
24112,2024-5-1,2,1,8,7,11,18381,8,FALSE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"17,283","1,040",0,346,"35,088",173,"44,568,790",https://pdf.sporttery.cn/28200/24112/24112.pdf
24111,2024-4-30,3,3,6,3,12,34496,4,TRUE,,组三,组六,FALSE,,9,6,15,5,FALSE,,"23,462","1,040","17,014",346,0,173,"47,566,180",https://pdf.sporttery.cn/28200/24111/24111.pdf
24110,2024-4-29,6,2,9,7,17,13266,3,TRUE,,组六,组六,TRUE,,6,6,12,2,TRUE,,"14,193","1,040",0,346,"39,944",173,"48,419,654",https://pdf.sporttery.cn/28200/24110/24110.pdf
24109,2024-4-28,2,4,3,2,9,13761,3,FALSE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"7,924","1,040",0,346,"35,288",173,"49,757,652",https://pdf.sporttery.cn/28200/24109/24109.pdf
24108,2024-4-27,2,5,2,3,9,27346,7,TRUE,,组三,组六,FALSE,,4,6,10,0,FALSE,,"32,910","1,040","19,825",346,0,173,"46,822,366",https://pdf.sporttery.cn/28200/24108/24108.pdf
24107,2024-4-26,4,9,9,5,22,29216,9,FALSE,,组三,组六,FALSE,,1,6,7,7,FALSE,,"10,914","1,040","12,183",346,0,173,"49,640,866",https://pdf.sporttery.cn/28200/24107/24107.pdf
24106,2024-4-25,5,3,3,2,11,11451,1,TRUE,,组三,组六,FALSE,,5,1,6,6,FALSE,,"18,108","1,040","20,544",346,0,173,"48,758,290",https://pdf.sporttery.cn/28200/24106/24106.pdf
24105,2024-4-24,2,1,0,2,3,25971,5,TRUE,,组六,组六,TRUE,,7,1,8,8,FALSE,,"7,366","1,040",0,346,"23,211",173,"48,279,974",https://pdf.sporttery.cn/28200/24105/24105.pdf
24104,2024-4-23,4,7,4,3,15,30206,0,TRUE,,组三,组六,FALSE,,0,6,6,6,FALSE,,"20,529","1,040","17,808",346,0,173,"48,756,142",https://pdf.sporttery.cn/28200/24104/24104.pdf
24103,2024-4-22,5,5,1,4,11,11726,1,FALSE,,组三,组六,FALSE,,2,6,8,8,FALSE,,"14,241","1,040","16,925",346,0,173,"47,569,450",https://pdf.sporttery.cn/28200/24103/24103.pdf
24102,2024-4-21,2,1,5,4,8,1551,5,FALSE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"17,920","1,040",0,346,"44,354",173,"45,342,068",https://pdf.sporttery.cn/28200/24102/24102.pdf
24101,2024-4-20,0,3,0,3,3,8536,5,TRUE,,组三,组六,FALSE,,3,6,9,9,FALSE,,"11,052","1,040","23,394",346,0,173,"48,015,476",https://pdf.sporttery.cn/28200/24101/24101.pdf
24100,2024-4-19,1,5,7,6,13,5511,5,FALSE,,组六,组六,TRUE,,1,1,2,2,FALSE,,"11,442","1,040",0,346,"33,331",173,"49,218,032",https://pdf.sporttery.cn/28200/24100/24100.pdf
24099,2024-4-18,1,0,2,2,3,13486,3,TRUE,,组六,组六,TRUE,,8,6,14,4,FALSE,,"11,180","1,040",0,346,"27,810",173,"49,494,430",https://pdf.sporttery.cn/28200/24099/24099.pdf
24098,2024-4-17,2,4,7,5,13,47366,7,FALSE,,组六,组六,TRUE,,6,6,12,2,TRUE,,"17,055","1,040",0,346,"54,719",173,"45,696,314",https://pdf.sporttery.cn/28200/24098/24098.pdf
24097,2024-4-16,8,6,3,5,17,25366,5,TRUE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"8,905","1,040",0,346,"41,931",173,"46,604,934",https://pdf.sporttery.cn/28200/24097/24097.pdf
24096,2024-4-15,4,6,3,3,13,9526,5,TRUE,,组六,组六,TRUE,,2,6,8,8,FALSE,,"17,960","1,040",0,346,"71,348",173,"46,464,412",https://pdf.sporttery.cn/28200/24096/24096.pdf
24095,2024-4-14,1,7,5,6,13,14806,4,TRUE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"7,930","1,040",0,346,"26,754",173,"45,622,670",https://pdf.sporttery.cn/28200/24095/24095.pdf
24094,2024-4-13,2,7,1,6,10,51326,1,FALSE,,组六,组六,TRUE,,2,6,8,8,FALSE,,"18,025","1,040",0,346,"45,263",173,"44,672,090",https://pdf.sporttery.cn/28200/24094/24094.pdf
24093,2024-4-12,9,3,5,6,17,8151,1,TRUE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"19,257","1,040",0,346,"41,964",173,"47,191,962",https://pdf.sporttery.cn/28200/24093/24093.pdf
24092,2024-4-11,1,5,0,5,6,10681,0,FALSE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"7,729","1,040",0,346,"24,715",173,"47,321,436",https://pdf.sporttery.cn/28200/24092/24092.pdf
24091,2024-4-10,1,9,6,8,16,11231,1,FALSE,,组六,组六,TRUE,,3,1,4,4,FALSE,,"7,920","1,040",0,346,"33,636",173,"46,276,512",https://pdf.sporttery.cn/28200/24091/24091.pdf
24090,2024-4-9,2,0,6,6,8,6336,3,TRUE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"16,058","1,040",0,346,"51,627",173,"46,625,908",https://pdf.sporttery.cn/28200/24090/24090.pdf
24089,2024-4-8,1,1,7,6,9,44946,4,TRUE,,组三,组六,FALSE,,4,6,10,0,FALSE,,"12,392","1,040","12,112",346,0,173,"46,625,762",https://pdf.sporttery.cn/28200/24089/24089.pdf
