期号,开奖日期,第1位结果,第2位结果,第3位结果,跨度,和值,杀码公式,杀码,杀码正确,杀码情况,形态,形态预测,形态预测正确,形态情况,十位,个位,和,独胆,独胆正确,独胆情况,直选中奖注数,直选中奖奖金,组3中奖注数,组3中奖奖金,组六中奖注数,组六中奖金额,总销售额,开奖公告
19245,2019-9-9,5,9,5,4,19,4851,8,TRUE,,组三,组六,FALSE,,5,1,6,6,FALSE,,"5,022","1,040","4,028",346,0,173,"17,353,808",https://pdf.sporttery.cn/28200/19245/19245.pdf
19244,2019-9-8,0,9,0,9,9,28006,8,TRUE,,组三,组六,FALSE,,0,6,6,6,FALSE,,"4,858","1,040","4,856",346,0,173,"17,318,744",https://pdf.sporttery.cn/28200/19244/19244.pdf
19243,2019-9-7,5,1,1,4,7,48961,8,TRUE,,组三,组六,FALSE,,6,1,7,7,FALSE,,"7,450","1,040","6,898",346,0,173,"17,452,428",https://pdf.sporttery.cn/28200/19243/19243.pdf
19242,2019-9-6,8,9,2,7,19,21076,1,TRUE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"7,080","1,040",0,346,"17,324",173,"18,299,124",https://pdf.sporttery.cn/28200/19242/19242.pdf
19241,2019-9-5,3,8,5,5,16,49071,9,TRUE,,组六,组六,TRUE,,7,1,8,8,TRUE,,"9,751","1,040",0,346,"25,858",173,"17,682,830",https://pdf.sporttery.cn/28200/19241/19241.pdf
19240,2019-9-4,8,9,4,5,21,26906,6,TRUE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"3,618","1,040",0,346,"13,970",173,"17,558,208",https://pdf.sporttery.cn/28200/19240/19240.pdf
19239,2019-9-3,4,9,1,8,14,22451,2,TRUE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"4,534","1,040",0,346,"17,903",173,"17,409,568",https://pdf.sporttery.cn/28200/19239/19239.pdf
19238,2019-9-2,4,1,0,4,5,44341,4,FALSE,,组六,组六,TRUE,,4,1,5,5,FALSE,,"4,832","1,040",0,346,"12,582",173,"17,485,188",https://pdf.sporttery.cn/28200/19238/19238.pdf
19237,2019-9-1,8,0,8,8,16,1056,0,FALSE,,组三,组六,FALSE,,5,6,11,1,FALSE,,"5,035","1,040","4,970",346,0,173,"16,992,520",https://pdf.sporttery.cn/28200/19237/19237.pdf
19236,2019-8-31,0,2,1,2,3,23111,3,TRUE,,组六,组六,TRUE,,1,1,2,2,TRUE,,"3,882","1,040",0,346,"11,615",173,"16,957,176",https://pdf.sporttery.cn/28200/19236/19236.pdf
19235,2019-8-30,4,2,2,2,8,13376,3,TRUE,,组三,组六,FALSE,,7,6,13,3,FALSE,,"8,806","1,040","8,997",346,0,173,"18,580,244",https://pdf.sporttery.cn/28200/19235/19235.pdf
19234,2019-8-29,2,4,5,3,11,29106,9,TRUE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"10,510","1,040",0,346,"23,129",173,"18,109,530",https://pdf.sporttery.cn/28200/19234/19234.pdf
19233,2019-8-28,5,3,1,4,9,42361,2,TRUE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"2,792","1,040",0,346,"12,194",173,"17,731,728",https://pdf.sporttery.cn/28200/19233/19233.pdf
19232,2019-8-27,7,7,2,5,16,51326,1,TRUE,,组三,组六,FALSE,,2,6,8,8,FALSE,,"8,861","1,040","15,876",346,0,173,"18,696,028",https://pdf.sporttery.cn/28200/19232/19232.pdf
19231,2019-8-26,9,3,5,6,17,34551,4,TRUE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"2,580","1,040",0,346,"13,875",173,"18,427,562",https://pdf.sporttery.cn/28200/19231/19231.pdf
19230,2019-8-25,6,3,0,6,9,52041,2,TRUE,,组六,组六,TRUE,,4,1,5,5,FALSE,,"3,889","1,040",0,346,"10,727",173,"17,730,362",https://pdf.sporttery.cn/28200/19230/19230.pdf
19229,2019-8-24,9,4,8,5,21,53691,3,TRUE,,组六,组六,TRUE,,9,1,10,0,FALSE,,"3,232","1,040",0,346,"13,258",173,"17,807,034",https://pdf.sporttery.cn/28200/19229/19229.pdf
19228,2019-8-23,9,7,8,2,24,45166,5,TRUE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"5,110","1,040",0,346,"15,688",173,"19,075,216",https://pdf.sporttery.cn/28200/19228/19228.pdf
19227,2019-8-22,8,2,3,6,13,21681,1,TRUE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"8,907","1,040",0,346,"14,951",173,"18,001,706",https://pdf.sporttery.cn/28200/19227/19227.pdf
19226,2019-8-21,3,9,6,6,18,21406,1,TRUE,,组六,组六,TRUE,,0,6,6,6,TRUE,,"4,000","1,040",0,346,"15,847",173,"17,887,894",https://pdf.sporttery.cn/28200/19226/19226.pdf
19225,2019-8-20,3,9,1,8,13,5016,0,TRUE,,组六,组六,TRUE,,1,6,7,7,FALSE,,"3,903","1,040",0,346,"13,649",173,"17,200,750",https://pdf.sporttery.cn/28200/19225/19225.pdf
19224,2019-8-19,0,9,3,9,12,29271,9,FALSE,,组六,组六,TRUE,,7,1,8,8,FALSE,,"4,716","1,040",0,346,"8,306",173,"17,783,370",https://pdf.sporttery.cn/28200/19224/19224.pdf
19223,2019-8-18,5,3,4,2,12,49896,9,TRUE,,组六,组六,TRUE,,9,6,15,5,TRUE,,"7,395","1,040",0,346,"17,651",173,"17,292,478",https://pdf.sporttery.cn/28200/19223/19223.pdf
19222,2019-8-17,9,0,9,9,18,43681,3,TRUE,,组三,组六,FALSE,,8,1,9,9,TRUE,,"15,364","1,040","12,878",346,0,173,"17,788,068",https://pdf.sporttery.cn/28200/19222/19222.pdf
19221,2019-8-16,7,9,6,3,22,17996,7,FALSE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"5,665","1,040",0,346,"12,073",173,"18,830,002",https://pdf.sporttery.cn/28200/19221/19221.pdf
19220,2019-8-15,3,2,9,7,14,20911,0,TRUE,,组六,组六,TRUE,,1,1,2,2,TRUE,,"3,912","1,040",0,346,"10,737",173,"16,781,128",https://pdf.sporttery.cn/28200/19220/19220.pdf
19219,2019-8-14,3,8,2,6,13,35596,5,TRUE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"8,000","1,040",0,346,"12,750",173,"16,015,144",https://pdf.sporttery.cn/28200/19219/19219.pdf
19218,2019-8-13,6,4,9,5,19,6666,6,FALSE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"3,479","1,040",0,346,"11,789",173,"15,725,876",https://pdf.sporttery.cn/28200/19218/19218.pdf
19217,2019-8-12,1,2,3,2,6,36091,6,TRUE,,组六,组六,TRUE,,9,1,10,0,FALSE,,"5,358","1,040",0,346,"12,107",173,"16,055,140",https://pdf.sporttery.cn/28200/19217/19217.pdf
19216,2019-8-11,6,5,8,3,19,48081,8,FALSE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"6,261","1,040",0,346,"11,673",173,"15,088,242",https://pdf.sporttery.cn/28200/19216/19216.pdf
19215,2019-8-10,8,7,6,2,21,50556,0,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"4,753","1,040",0,346,"13,963",173,"15,067,318",https://pdf.sporttery.cn/28200/19215/19215.pdf
19214,2019-8-9,9,2,1,8,12,39941,9,FALSE,,组六,组六,TRUE,,4,1,5,5,FALSE,,"6,668","1,040",0,346,"19,274",173,"16,569,470",https://pdf.sporttery.cn/28200/19214/19214.pdf
19213,2019-8-8,7,2,8,6,17,42361,2,FALSE,,组六,组六,TRUE,,6,1,7,7,TRUE,,"5,538","1,040",0,346,"14,510",173,"15,998,578",https://pdf.sporttery.cn/28200/19213/19213.pdf
19212,2019-8-7,7,7,2,5,16,32351,2,FALSE,,组三,组六,FALSE,,5,1,6,6,FALSE,,"5,076","1,040","5,477",346,0,173,"15,736,294",https://pdf.sporttery.cn/28200/19212/19212.pdf
19211,2019-8-6,5,9,0,9,14,42416,2,TRUE,,组六,组六,TRUE,,1,6,7,7,FALSE,,"6,393","1,040",0,346,"10,965",173,"15,732,558",https://pdf.sporttery.cn/28200/19211/19211.pdf
19210,2019-8-5,7,7,3,4,17,47476,7,FALSE,,组三,组六,FALSE,,7,6,13,3,TRUE,,"7,715","1,040","5,791",346,0,173,"15,549,562",https://pdf.sporttery.cn/28200/19210/19210.pdf
19209,2019-8-4,8,6,5,3,19,47036,7,TRUE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"3,614","1,040",0,346,"14,745",173,"15,054,564",https://pdf.sporttery.cn/28200/19209/19209.pdf
19208,2019-8-3,8,5,7,3,20,6336,3,TRUE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"3,624","1,040",0,346,"13,911",173,"14,972,992",https://pdf.sporttery.cn/28200/19208/19208.pdf
19207,2019-8-2,1,1,7,6,9,50336,0,TRUE,,组三,组六,FALSE,,3,6,9,9,FALSE,,"7,922","1,040","9,126",346,0,173,"17,508,140",https://pdf.sporttery.cn/28200/19207/19207.pdf
19206,2019-8-1,9,1,7,8,17,10186,0,TRUE,,组六,组六,TRUE,,8,6,14,4,FALSE,,"7,306","1,040",0,346,"15,030",173,"17,070,062",https://pdf.sporttery.cn/28200/19206/19206.pdf
19205,2019-7-31,1,8,7,7,16,30811,0,TRUE,,组六,组六,TRUE,,1,1,2,2,FALSE,,"4,912","1,040",0,346,"20,020",173,"16,800,378",https://pdf.sporttery.cn/28200/19205/19205.pdf
19204,2019-7-30,5,6,2,4,13,5566,5,FALSE,,组六,组六,TRUE,,6,6,12,2,TRUE,,"5,238","1,040",0,346,"12,702",173,"16,047,992",https://pdf.sporttery.cn/28200/19204/19204.pdf
19203,2019-7-29,1,0,3,3,4,45166,5,TRUE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"2,962","1,040",0,346,"11,071",173,"16,381,048",https://pdf.sporttery.cn/28200/19203/19203.pdf
19202,2019-7-28,8,2,3,6,13,12661,2,FALSE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"5,623","1,040",0,346,"14,429",173,"16,167,066",https://pdf.sporttery.cn/28200/19202/19202.pdf
19201,2019-7-27,2,3,2,1,7,25806,5,TRUE,,组三,组六,FALSE,,0,6,6,6,FALSE,,"5,717","1,040","6,162",346,0,173,"16,203,918",https://pdf.sporttery.cn/28200/19201/19201.pdf
19200,2019-7-26,4,7,1,6,12,26081,6,TRUE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"3,397","1,040",0,346,"12,824",173,"18,143,172",https://pdf.sporttery.cn/28200/19200/19200.pdf
19199,2019-7-25,4,7,6,3,17,14036,4,FALSE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"12,121","1,040",0,346,"19,744",173,"16,689,456",https://pdf.sporttery.cn/28200/19199/19199.pdf
19198,2019-7-24,2,5,7,5,14,34111,4,TRUE,,组六,组六,TRUE,,1,1,2,2,TRUE,,"8,427","1,040",0,346,"17,211",173,"15,690,140",https://pdf.sporttery.cn/28200/19198/19198.pdf
19197,2019-7-23,6,2,2,4,10,35376,5,TRUE,,组三,组六,FALSE,,7,6,13,3,FALSE,,"4,254","1,040","11,077",346,0,173,"16,864,158",https://pdf.sporttery.cn/28200/19197/19197.pdf
19196,2019-7-22,6,4,5,2,15,37796,7,TRUE,,组六,组六,TRUE,,9,6,15,5,TRUE,,"4,699","1,040",0,346,"13,864",173,"17,081,226",https://pdf.sporttery.cn/28200/19196/19196.pdf
19195,2019-7-21,6,8,9,3,23,17391,7,TRUE,,组六,组六,TRUE,,9,1,10,0,FALSE,,"5,530","1,040",0,346,"14,150",173,"16,553,550",https://pdf.sporttery.cn/28200/19195/19195.pdf
19194,2019-7-20,3,1,8,7,12,35761,5,TRUE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"10,432","1,040",0,346,"24,704",173,"16,416,048",https://pdf.sporttery.cn/28200/19194/19194.pdf
19193,2019-7-19,6,5,2,4,13,39996,9,TRUE,,组六,组六,TRUE,,9,6,15,5,TRUE,,"6,639","1,040",0,346,"16,056",173,"17,370,364",https://pdf.sporttery.cn/28200/19193/19193.pdf
19192,2019-7-18,7,2,9,7,18,13651,3,TRUE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"10,741","1,040",0,346,"15,617",173,"16,439,806",https://pdf.sporttery.cn/28200/19192/19192.pdf
19191,2019-7-17,2,5,0,5,7,9251,2,FALSE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"3,792","1,040",0,346,"10,389",173,"16,482,060",https://pdf.sporttery.cn/28200/19191/19191.pdf
19190,2019-7-16,1,7,0,7,8,48851,8,TRUE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"4,243","1,040",0,346,"11,663",173,"16,726,216",https://pdf.sporttery.cn/28200/19190/19190.pdf
19189,2019-7-15,8,9,0,9,17,17281,7,TRUE,,组六,组六,TRUE,,8,1,9,9,TRUE,,"2,334","1,040",0,346,"9,591",173,"16,420,100",https://pdf.sporttery.cn/28200/19189/19189.pdf
19188,2019-7-14,3,1,6,5,10,49346,9,TRUE,,组六,组六,TRUE,,4,6,10,0,FALSE,,"7,993","1,040",0,346,"12,832",173,"15,441,210",https://www.lottery.gov.cn/kj/kjxq.html?339188
19187,2019-7-13,8,9,9,1,26,29986,9,FALSE,,组三,组六,FALSE,,8,6,14,4,FALSE,,"4,321","1,040","6,424",346,0,173,"15,801,966",https://www.lottery.gov.cn/kj/kjxq.html?339187
19186,2019-7-12,5,4,7,3,16,23881,3,TRUE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"10,392","1,040",0,346,"19,486",173,"17,630,876",https://www.lottery.gov.cn/kj/kjxq.html?339186
19185,2019-7-11,4,3,6,3,13,24596,4,FALSE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"4,354","1,040",0,346,"11,921",173,"16,817,390",https://www.lottery.gov.cn/kj/kjxq.html?339185
19184,2019-7-10,4,4,9,5,17,45661,5,TRUE,,组三,组六,FALSE,,6,1,7,7,FALSE,,"11,811","1,040","9,986",346,0,173,"16,859,076",https://www.lottery.gov.cn/kj/kjxq.html?339184
19183,2019-7-9,8,3,2,6,13,41756,1,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"9,931","1,040",0,346,"16,445",173,"16,069,484",https://www.lottery.gov.cn/kj/kjxq.html?339183
19182,2019-7-8,7,6,1,6,14,16731,6,FALSE,,组六,组六,TRUE,,3,1,4,4,FALSE,,"2,529","1,040",0,346,"6,313",173,"15,926,108",https://www.lottery.gov.cn/kj/kjxq.html?339182
19181,2019-7-7,3,0,6,6,9,13541,3,FALSE,,组六,组六,TRUE,,4,1,5,5,FALSE,,"3,147","1,040",0,346,"10,838",173,"15,686,180",https://www.lottery.gov.cn/kj/kjxq.html?339181
19180,2019-7-6,2,4,8,6,14,41756,1,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"3,139","1,040",0,346,"9,532",173,"15,489,638",https://www.lottery.gov.cn/kj/kjxq.html?339180
19179,2019-7-5,7,6,1,6,14,42471,2,TRUE,,组六,组六,TRUE,,7,1,8,8,FALSE,,"4,914","1,040",0,346,"16,903",173,"16,465,914",https://www.lottery.gov.cn/kj/kjxq.html?339179
19178,2019-7-4,7,7,4,3,18,12661,2,TRUE,,组三,组六,FALSE,,6,1,7,7,TRUE,,"4,482","1,040","5,722",346,0,173,"15,950,044",https://www.lottery.gov.cn/kj/kjxq.html?339178
19177,2019-7-3,2,3,2,1,7,5181,1,TRUE,,组三,组六,FALSE,,8,1,9,9,FALSE,,"4,173","1,040","3,551",346,0,173,"15,814,148",https://www.lottery.gov.cn/kj/kjxq.html?339177
19176,2019-7-2,0,9,6,9,15,21296,1,TRUE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"3,728","1,040",0,346,"10,039",173,"15,795,534",https://www.lottery.gov.cn/kj/kjxq.html?339176
19175,2019-7-1,3,8,9,6,20,21846,1,TRUE,,组六,组六,TRUE,,4,6,10,0,FALSE,,"5,886","1,040",0,346,"12,713",173,"15,847,796",https://www.lottery.gov.cn/kj/kjxq.html?339175
19174,2019-6-30,3,9,9,6,21,48521,8,TRUE,,组三,组六,FALSE,,2,1,3,3,TRUE,,"4,264","1,040","6,566",346,0,173,"15,764,358",https://www.lottery.gov.cn/kj/kjxq.html?339174
19173,2019-6-29,8,8,4,4,20,41261,1,TRUE,,组三,组六,FALSE,,6,1,7,7,FALSE,,"3,852","1,040","3,494",346,0,173,"15,675,712",https://www.lottery.gov.cn/kj/kjxq.html?339173
19172,2019-6-28,7,5,2,5,14,24266,4,TRUE,,组六,组六,TRUE,,6,6,12,2,TRUE,,"11,050","1,040",0,346,"37,183",173,"16,315,634",https://www.lottery.gov.cn/kj/kjxq.html?339172
19171,2019-6-27,4,4,3,1,11,19921,9,TRUE,,组三,组六,FALSE,,2,1,3,3,TRUE,,"3,709","1,040","6,466",346,0,173,"16,290,858",https://www.lottery.gov.cn/kj/kjxq.html?339171
19170,2019-6-26,3,6,4,3,13,2156,1,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"6,530","1,040",0,346,"14,768",173,"15,890,968",https://www.lottery.gov.cn/kj/kjxq.html?339170
19169,2019-6-25,0,4,1,4,5,38566,8,TRUE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"7,000","1,040",0,346,"8,880",173,"15,299,906",https://www.lottery.gov.cn/kj/kjxq.html?339169
19168,2019-6-24,7,0,3,7,10,16786,6,TRUE,,组六,组六,TRUE,,8,6,14,4,FALSE,,"2,045","1,040",0,346,"4,524",173,"15,658,926",https://www.lottery.gov.cn/kj/kjxq.html?339168
19167,2019-6-23,3,0,7,7,10,47476,7,FALSE,,组六,组六,TRUE,,7,6,13,3,TRUE,,"3,619","1,040",0,346,"9,557",173,"14,861,310",https://www.lottery.gov.cn/kj/kjxq.html?339167
19166,2019-6-22,8,6,5,3,19,6061,0,TRUE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"9,509","1,040",0,346,"21,619",173,"14,668,100",https://www.lottery.gov.cn/kj/kjxq.html?339166
19165,2019-6-21,1,1,2,1,4,43736,3,TRUE,,组三,组六,FALSE,,3,6,9,9,FALSE,,"3,666","1,040","3,614",346,0,173,"15,674,948",https://www.lottery.gov.cn/kj/kjxq.html?339165
19164,2019-6-20,7,9,7,2,23,27016,7,FALSE,,组三,组六,FALSE,,1,6,7,7,TRUE,,"4,880","1,040","5,244",346,0,173,"15,844,982",https://www.lottery.gov.cn/kj/kjxq.html?339164
19163,2019-6-19,4,9,3,6,16,33451,3,FALSE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"3,178","1,040",0,346,"8,676",173,"15,798,716",https://www.lottery.gov.cn/kj/kjxq.html?339163
19162,2019-6-18,6,1,0,6,7,54736,4,TRUE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"3,143","1,040",0,346,"6,269",173,"15,269,586",https://www.lottery.gov.cn/kj/kjxq.html?339162
19161,2019-6-17,9,9,7,2,25,25476,5,TRUE,,组三,组六,FALSE,,7,6,13,3,FALSE,,"19,444","1,040","10,118",346,0,173,"16,056,826",https://www.lottery.gov.cn/kj/kjxq.html?339161
19160,2019-6-16,4,6,5,2,15,10681,0,TRUE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"9,670","1,040",0,346,"11,399",173,"15,365,656",https://www.lottery.gov.cn/kj/kjxq.html?339160
19159,2019-6-15,1,9,6,8,16,39556,9,FALSE,,组六,组六,TRUE,,5,6,11,1,TRUE,,"4,680","1,040",0,346,"10,970",173,"15,228,196",https://www.lottery.gov.cn/kj/kjxq.html?339159
19158,2019-6-14,7,2,1,6,10,17061,7,FALSE,,组六,组六,TRUE,,6,1,7,7,TRUE,,"4,446","1,040",0,346,"10,893",173,"16,422,492",https://www.lottery.gov.cn/kj/kjxq.html?339158
19157,2019-6-13,3,1,2,2,6,36146,6,TRUE,,组六,组六,TRUE,,4,6,10,0,FALSE,,"5,748","1,040",0,346,"10,258",173,"16,081,486",https://www.lottery.gov.cn/kj/kjxq.html?339157
19156,2019-6-12,6,5,9,4,20,4356,3,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"12,027","1,040",0,346,"20,820",173,"15,919,648",https://www.lottery.gov.cn/kj/kjxq.html?339156
19155,2019-6-11,0,8,1,8,9,20691,0,FALSE,,组六,组六,TRUE,,9,1,10,0,TRUE,,"5,714","1,040",0,346,"9,907",173,"15,939,642",https://www.lottery.gov.cn/kj/kjxq.html?339155
19154,2019-6-10,3,7,8,5,18,3201,2,TRUE,,组六,组六,TRUE,,0,1,1,1,FALSE,,"6,258","1,040",0,346,"13,787",173,"15,175,026",https://www.lottery.gov.cn/kj/kjxq.html?339154
19153,2019-6-9,0,6,0,6,6,15576,5,TRUE,,组三,组六,FALSE,,7,6,13,3,FALSE,,"2,494","1,040","2,229",346,0,173,"15,093,714",https://www.lottery.gov.cn/kj/kjxq.html?339153
19152,2019-6-8,2,8,5,6,15,31526,1,TRUE,,组六,组六,TRUE,,2,6,8,8,TRUE,,"7,206","1,040",0,346,"26,472",173,"15,174,622",https://www.lottery.gov.cn/kj/kjxq.html?339152
19151,2019-6-7,5,7,5,2,17,53031,3,TRUE,,组三,组六,FALSE,,3,1,4,4,FALSE,,"4,450","1,040","6,301",346,0,173,"14,797,412",https://www.lottery.gov.cn/kj/kjxq.html?339151
19150,2019-6-6,9,6,6,3,21,48301,8,TRUE,,组三,组六,FALSE,,0,1,1,1,FALSE,,"5,344","1,040","5,346",346,0,173,"15,728,114",https://www.lottery.gov.cn/kj/kjxq.html?339150
19149,2019-6-5,8,8,0,8,16,10406,0,FALSE,,组三,组六,FALSE,,0,6,6,6,FALSE,,"2,779","1,040","3,355",346,0,173,"15,610,658",https://www.lottery.gov.cn/kj/kjxq.html?339149
19148,2019-6-4,1,9,1,8,11,29271,9,FALSE,,组三,组六,FALSE,,7,1,8,8,FALSE,,"9,151","1,040","4,721",346,0,173,"15,841,764",https://www.lottery.gov.cn/kj/kjxq.html?339148
19147,2019-6-3,5,3,4,2,12,20471,0,TRUE,,组六,组六,TRUE,,7,1,8,8,FALSE,,"5,557","1,040",0,346,"11,286",173,"15,795,300",https://www.lottery.gov.cn/kj/kjxq.html?339147
19146,2019-6-2,3,7,4,4,14,4741,7,FALSE,,组六,组六,TRUE,,4,1,5,5,FALSE,,"6,982","1,040",0,346,"14,079",173,"14,746,204",https://www.lottery.gov.cn/kj/kjxq.html?339146
19145,2019-6-1,0,8,8,8,16,26796,6,TRUE,,组三,组六,FALSE,,9,6,15,5,FALSE,,"2,259","1,040","3,620",346,0,173,"15,234,606",https://www.lottery.gov.cn/kj/kjxq.html?339145
19144,2019-5-31,4,8,9,5,21,31856,1,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"6,112","1,040",0,346,"11,623",173,"16,523,608",https://www.lottery.gov.cn/kj/kjxq.html?339144
19143,2019-5-30,5,8,1,7,14,4466,4,TRUE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"6,567","1,040",0,346,"15,272",173,"15,929,812",https://www.lottery.gov.cn/kj/kjxq.html?339143
19142,2019-5-29,0,8,3,8,11,121,2,TRUE,,组六,组六,TRUE,,2,1,3,3,TRUE,,"4,042","1,040",0,346,"14,338",173,"15,266,660",https://www.lottery.gov.cn/kj/kjxq.html?339142
19141,2019-5-28,0,0,4,4,4,8371,3,TRUE,,组三,组六,FALSE,,7,1,8,8,FALSE,,"1,865","1,040","2,338",346,0,173,"16,435,858",https://www.lottery.gov.cn/kj/kjxq.html?339141
19140,2019-5-27,1,5,4,4,10,22231,2,TRUE,,组六,组六,TRUE,,3,1,4,4,TRUE,,"6,583","1,040",0,346,"16,234",173,"15,457,044",https://www.lottery.gov.cn/kj/kjxq.html?339140
19139,2019-5-26,4,0,6,6,10,286,8,TRUE,,组六,组六,TRUE,,8,6,14,4,TRUE,,"2,545","1,040",0,346,"6,823",173,"14,650,686",https://www.lottery.gov.cn/kj/kjxq.html?339139
19138,2019-5-25,0,0,7,7,7,42581,2,TRUE,,组三,组六,FALSE,,8,1,9,9,FALSE,,"2,661","1,040","4,119",346,0,173,"15,031,382",https://www.lottery.gov.cn/kj/kjxq.html?339138
19137,2019-5-24,7,7,6,1,20,51546,1,TRUE,,组三,组六,FALSE,,4,6,10,0,FALSE,,"9,864","1,040","11,833",346,0,173,"16,458,262",https://www.lottery.gov.cn/kj/kjxq.html?339137
19136,2019-5-23,9,3,9,6,21,5071,0,TRUE,,组三,组六,FALSE,,7,1,8,8,FALSE,,"7,315","1,040","13,470",346,0,173,"17,513,348",https://www.lottery.gov.cn/kj/kjxq.html?339136
19135,2019-5-22,0,9,4,9,13,22946,2,TRUE,,组六,组六,TRUE,,4,6,10,0,TRUE,,"2,565","1,040",0,346,"7,819",173,"17,491,126",https://www.lottery.gov.cn/kj/kjxq.html?339135
19134,2019-5-21,4,1,9,8,14,10736,0,TRUE,,组六,组六,TRUE,,3,6,9,9,TRUE,,"9,331","1,040",0,346,"10,633",173,"17,655,990",https://www.lottery.gov.cn/kj/kjxq.html?339134
19133,2019-5-20,1,9,7,8,17,32516,2,TRUE,,组六,组六,TRUE,,1,6,7,7,TRUE,,"2,958","1,040",0,346,"8,394",173,"17,708,648",https://www.lottery.gov.cn/kj/kjxq.html?339133
19132,2019-5-19,5,9,3,6,17,34386,4,TRUE,,组六,组六,TRUE,,8,6,14,4,FALSE,,"4,956","1,040",0,346,"15,766",173,"16,841,170",https://www.lottery.gov.cn/kj/kjxq.html?339132
19131,2019-5-18,6,2,7,5,15,39776,9,TRUE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"8,863","1,040",0,346,"17,438",173,"17,372,132",https://www.lottery.gov.cn/kj/kjxq.html?339131
19130,2019-5-17,7,2,5,5,14,29601,9,TRUE,,组六,组六,TRUE,,0,1,1,1,FALSE,,"10,585","1,040",0,346,"15,994",173,"17,882,650",https://www.lottery.gov.cn/kj/kjxq.html?339130
19129,2019-5-16,5,4,0,5,9,3421,4,FALSE,,组六,组六,TRUE,,2,1,3,3,FALSE,,"4,398","1,040",0,346,"8,522",173,"17,111,276",https://www.lottery.gov.cn/kj/kjxq.html?339129
19128,2019-5-15,0,6,4,6,10,15301,5,TRUE,,组六,组六,TRUE,,0,1,1,1,FALSE,,"3,746","1,040",0,346,"6,656",173,"17,143,452",https://www.lottery.gov.cn/kj/kjxq.html?339128
19127,2019-5-14,2,8,0,8,10,10296,0,FALSE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"2,791","1,040",0,346,"11,357",173,"17,255,976",https://www.lottery.gov.cn/kj/kjxq.html?339127
19126,2019-5-13,1,8,9,8,18,26576,6,TRUE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"5,965","1,040",0,346,"18,689",173,"17,527,508",https://www.lottery.gov.cn/kj/kjxq.html?339126
19125,2019-5-12,4,8,5,4,17,14751,4,FALSE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"3,364","1,040",0,346,"14,573",173,"16,086,640",https://www.lottery.gov.cn/kj/kjxq.html?339125
19124,2019-5-11,2,7,0,7,9,25806,5,TRUE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"3,557","1,040",0,346,"10,004",173,"16,515,422",https://www.lottery.gov.cn/kj/kjxq.html?339124
19123,2019-5-10,4,7,1,6,12,37961,7,FALSE,,组六,组六,TRUE,,6,1,7,7,TRUE,,"4,943","1,040",0,346,"18,145",173,"17,133,780",https://www.lottery.gov.cn/kj/kjxq.html?339123
19122,2019-5-9,6,9,2,7,17,48411,8,TRUE,,组六,组六,TRUE,,1,1,2,2,TRUE,,"5,953","1,040",0,346,"14,779",173,"16,745,856",https://www.lottery.gov.cn/kj/kjxq.html?339122
